Date,Year,Month,Province,Category,CPI_Value
2019-01-01,2019,1,Ontario,All-items,135.2
2019-02-01,2019,2,Ontario,All-items,136.0
2019-03-01,2019,3,Ontario,All-items,137.0
2019-04-01,2019,4,Ontario,All-items,137.4
2019-05-01,2019,5,Ontario,All-items,138.1
2019-06-01,2019,6,Ontario,All-items,138.0
2019-07-01,2019,7,Ontario,All-items,138.8
2019-08-01,2019,8,Ontario,All-items,138.5
2019-09-01,2019,9,Ontario,All-items,137.5
2019-10-01,2019,10,Ontario,All-items,137.9
2019-11-01,2019,11,Ontario,All-items,137.7
2019-12-01,2019,12,Ontario,All-items,137.8
2020-01-01,2020,1,Ontario,All-items,138.0
2020-02-01,2020,2,Ontario,All-items,138.7
2020-03-01,2020,3,Ontario,All-items,137.9
2020-04-01,2020,4,Ontario,All-items,137.3
2020-05-01,2020,5,Ontario,All-items,137.5
2020-06-01,2020,6,Ontario,All-items,138.6
2020-07-01,2020,7,Ontario,All-items,138.8
2020-08-01,2020,8,Ontario,All-items,138.6
2020-09-01,2020,9,Ontario,All-items,138.3
2020-10-01,2020,10,Ontario,All-items,138.9
2020-11-01,2020,11,Ontario,All-items,139.0
2020-12-01,2020,12,Ontario,All-items,138.8
2021-01-01,2021,1,Ontario,All-items,139.5
2021-02-01,2021,2,Ontario,All-items,140.2
2021-03-01,2021,3,Ontario,All-items,141.0
2021-04-01,2021,4,Ontario,All-items,141.8
2021-05-01,2021,5,Ontario,All-items,142.6
2021-06-01,2021,6,Ontario,All-items,143.1
2021-07-01,2021,7,Ontario,All-items,143.7
2021-08-01,2021,8,Ontario,All-items,144.1
2021-09-01,2021,9,Ontario,All-items,144.4
2021-10-01,2021,10,Ontario,All-items,145.7
2021-11-01,2021,11,Ontario,All-items,146.0
2021-12-01,2021,12,Ontario,All-items,146.0
2022-01-01,2022,1,Ontario,All-items,147.4
2022-02-01,2022,2,Ontario,All-items,148.8
2022-03-01,2022,3,Ontario,All-items,150.8
2022-04-01,2022,4,Ontario,All-items,151.6
2022-05-01,2022,5,Ontario,All-items,153.7
2022-06-01,2022,6,Ontario,All-items,154.4
2022-07-01,2022,7,Ontario,All-items,154.6
2022-08-01,2022,8,Ontario,All-items,154.1
2022-09-01,2022,9,Ontario,All-items,154.1
2022-10-01,2022,10,Ontario,All-items,155.2
2022-11-01,2022,11,Ontario,All-items,155.4
2022-12-01,2022,12,Ontario,All-items,154.8
2023-01-01,2023,1,Ontario,All-items,155.7
2023-02-01,2023,2,Ontario,All-items,156.4
2023-03-01,2023,3,Ontario,All-items,157.3
2023-04-01,2023,4,Ontario,All-items,157.9
2023-05-01,2023,5,Ontario,All-items,158.5
2023-06-01,2023,6,Ontario,All-items,158.4
2023-07-01,2023,7,Ontario,All-items,159.6
2023-08-01,2023,8,Ontario,All-items,159.9
2023-09-01,2023,9,Ontario,All-items,159.7
2023-10-01,2023,10,Ontario,All-items,160.3
2023-11-01,2023,11,Ontario,All-items,160.6
2023-12-01,2023,12,Ontario,All-items,160.0
2024-01-01,2024,1,Ontario,All-items,159.9
2024-02-01,2024,2,Ontario,All-items,160.2
2024-03-01,2024,3,Ontario,All-items,161.4
2024-04-01,2024,4,Ontario,All-items,162.2
2024-05-01,2024,5,Ontario,All-items,163.2
2024-06-01,2024,6,Ontario,All-items,163.1
2024-07-01,2024,7,Ontario,All-items,163.9
2024-08-01,2024,8,Ontario,All-items,163.3
