Date,Year,Month,Province,Indicator,Value
2019-01-01,2019,1,Ontario,Employment,7322.6
2019-02-01,2019,2,Ontario,Employment,7358.8
2019-03-01,2019,3,Ontario,Employment,7344.4
2019-04-01,2019,4,Ontario,Employment,7381.4
2019-05-01,2019,5,Ontario,Employment,7403.4
2019-06-01,2019,6,Ontario,Employment,7403.6
2019-07-01,2019,7,Ontario,Employment,7391.8
2019-08-01,2019,8,Ontario,Employment,7446.6
2019-09-01,2019,9,Ontario,Employment,7458.7
2019-10-01,2019,10,Ontario,Employment,7444.6
2019-11-01,2019,11,Ontario,Employment,7471.4
2019-12-01,2019,12,Ontario,Employment,7506.1
2020-01-01,2020,1,Ontario,Employment,7516.9
2020-02-01,2020,2,Ontario,Employment,7501.2
2020-03-01,2020,3,Ontario,Employment,7036.8
2020-04-01,2020,4,Ontario,Employment,6346.9
2020-05-01,2020,5,Ontario,Employment,6334.0
2020-06-01,2020,6,Ontario,Employment,6751.4
2020-07-01,2020,7,Ontario,Employment,6913.9
2020-08-01,2020,8,Ontario,Employment,7047.5
2020-09-01,2020,9,Ontario,Employment,7234.2
2020-10-01,2020,10,Ontario,Employment,7278.1
2020-11-01,2020,11,Ontario,Employment,7302.9
2020-12-01,2020,12,Ontario,Employment,7288.2
2021-01-01,2021,1,Ontario,Employment,7112.7
2021-02-01,2021,2,Ontario,Employment,7227.6
2021-03-01,2021,3,Ontario,Employment,7371.8
2021-04-01,2021,4,Ontario,Employment,7228.9
2021-05-01,2021,5,Ontario,Employment,7196.4
2021-06-01,2021,6,Ontario,Employment,7324.7
2021-07-01,2021,7,Ontario,Employment,7429.9
2021-08-01,2021,8,Ontario,Employment,7463.1
2021-09-01,2021,9,Ontario,Employment,7553.1
2021-10-01,2021,10,Ontario,Employment,7596.9
2021-11-01,2021,11,Ontario,Employment,7662.2
2021-12-01,2021,12,Ontario,Employment,7716.4
2022-01-01,2022,1,Ontario,Employment,7552.3
2022-02-01,2022,2,Ontario,Employment,7737.9
2022-03-01,2022,3,Ontario,Employment,7753.1
2022-04-01,2022,4,Ontario,Employment,7784.2
2022-05-01,2022,5,Ontario,Employment,7791.0
2022-06-01,2022,6,Ontario,Employment,7773.1
2022-07-01,2022,7,Ontario,Employment,7788.2
2022-08-01,2022,8,Ontario,Employment,7772.8
2022-09-01,2022,9,Ontario,Employment,7751.2
2022-10-01,2022,10,Ontario,Employment,7804.3
2022-11-01,2022,11,Ontario,Employment,7819.5
2022-12-01,2022,12,Ontario,Employment,7864.0
2023-01-01,2023,1,Ontario,Employment,7900.4
2023-02-01,2023,2,Ontario,Employment,7932.1
2023-03-01,2023,3,Ontario,Employment,7961.7
2023-04-01,2023,4,Ontario,Employment,7992.2
2023-05-01,2023,5,Ontario,Employment,7981.3
2023-06-01,2023,6,Ontario,Employment,8029.9
2023-07-01,2023,7,Ontario,Employment,8037.7
2023-08-01,2023,8,Ontario,Employment,8052.4
2023-09-01,2023,9,Ontario,Employment,8067.1
2023-10-01,2023,10,Ontario,Employment,8055.4
2023-11-01,2023,11,Ontario,Employment,8063.9
2023-12-01,2023,12,Ontario,Employment,8038.2
2024-01-01,2024,1,Ontario,Employment,8051.0
2024-02-01,2024,2,Ontario,Employment,8054.6
2024-03-01,2024,3,Ontario,Employment,8092.5
2024-04-01,2024,4,Ontario,Employment,8114.1
2024-05-01,2024,5,Ontario,Employment,8152.5
2024-06-01,2024,6,Ontario,Employment,8155.4
2024-07-01,2024,7,Ontario,Employment,8175.1
2024-08-01,2024,8,Ontario,Employment,8170.3
2024-09-01,2024,9,Ontario,Employment,8203.1
2024-10-01,2024,10,Ontario,Employment,8180.2
2024-11-01,2024,11,Ontario,Employment,8172.9
2024-12-01,2024,12,Ontario,Employment,8210.0
2025-01-01,2025,1,Ontario,Employment,8234.2
2025-02-01,2025,2,Ontario,Employment,8245.7
2025-03-01,2025,3,Ontario,Employment,8221.6
2025-04-01,2025,4,Ontario,Employment,8193.6
2025-05-01,2025,5,Ontario,Employment,8198.1
2025-06-01,2025,6,Ontario,Employment,8208.3
2025-07-01,2025,7,Ontario,Employment,8216.3
2025-08-01,2025,8,Ontario,Employment,8190.3
2025-09-01,2025,9,Ontario,Employment,8200.2
2025-10-01,2025,10,Ontario,Employment,8252.5
2025-11-01,2025,11,Ontario,Employment,8256.4
2025-12-01,2025,12,Ontario,Employment,8274.5
2019-01-01,2019,1,Ontario,Unemployment,438.2
2019-02-01,2019,2,Ontario,Unemployment,436.3
2019-03-01,2019,3,Ontario,Unemployment,457.3
2019-04-01,2019,4,Ontario,Unemployment,464.1
2019-05-01,2019,5,Ontario,Unemployment,407.4
2019-06-01,2019,6,Ontario,Unemployment,417.7
2019-07-01,2019,7,Ontario,Unemployment,444.8
2019-08-01,2019,8,Ontario,Unemployment,441.8
2019-09-01,2019,9,Ontario,Unemployment,430.3
2019-10-01,2019,10,Ontario,Unemployment,429.2
2019-11-01,2019,11,Ontario,Unemployment,433.4
2019-12-01,2019,12,Ontario,Unemployment,415.5
2020-01-01,2020,1,Ontario,Unemployment,411.9
2020-02-01,2020,2,Ontario,Unemployment,449.0
2020-03-01,2020,3,Ontario,Unemployment,650.4
2020-04-01,2020,4,Ontario,Unemployment,874.0
2020-05-01,2020,5,Ontario,Unemployment,1049.3
2020-06-01,2020,6,Ontario,Unemployment,973.2
2020-07-01,2020,7,Ontario,Unemployment,892.5
2020-08-01,2020,8,Ontario,Unemployment,819.7
2020-09-01,2020,9,Ontario,Unemployment,765.3
2020-10-01,2020,10,Ontario,Unemployment,750.9
2020-11-01,2020,11,Ontario,Unemployment,721.6
2020-12-01,2020,12,Ontario,Unemployment,801.9
2021-01-01,2021,1,Ontario,Unemployment,805.6
2021-02-01,2021,2,Ontario,Unemployment,757.3
2021-03-01,2021,3,Ontario,Unemployment,623.5
2021-04-01,2021,4,Ontario,Unemployment,747.4
2021-05-01,2021,5,Ontario,Unemployment,749.3
2021-06-01,2021,6,Ontario,Unemployment,705.4
2021-07-01,2021,7,Ontario,Unemployment,640.2
2021-08-01,2021,8,Ontario,Unemployment,620.5
2021-09-01,2021,9,Ontario,Unemployment,607.0
2021-10-01,2021,10,Ontario,Unemployment,548.8
2021-11-01,2021,11,Ontario,Unemployment,529.8
2021-12-01,2021,12,Ontario,Unemployment,518.8
2022-01-01,2022,1,Ontario,Unemployment,600.9
2022-02-01,2022,2,Ontario,Unemployment,463.7
2022-03-01,2022,3,Ontario,Unemployment,445.5
2022-04-01,2022,4,Ontario,Unemployment,458.8
2022-05-01,2022,5,Ontario,Unemployment,444.1
2022-06-01,2022,6,Ontario,Unemployment,421.3
2022-07-01,2022,7,Ontario,Unemployment,416.7
2022-08-01,2022,8,Ontario,Unemployment,443.8
2022-09-01,2022,9,Ontario,Unemployment,448.0
2022-10-01,2022,10,Ontario,Unemployment,451.5
2022-11-01,2022,11,Ontario,Unemployment,461.3
2022-12-01,2022,12,Ontario,Unemployment,439.0
2023-01-01,2023,1,Ontario,Unemployment,440.0
2023-02-01,2023,2,Ontario,Unemployment,431.3
2023-03-01,2023,3,Ontario,Unemployment,442.4
2023-04-01,2023,4,Ontario,Unemployment,422.3
2023-05-01,2023,5,Ontario,Unemployment,465.0
2023-06-01,2023,6,Ontario,Unemployment,477.3
2023-07-01,2023,7,Ontario,Unemployment,476.1
2023-08-01,2023,8,Ontario,Unemployment,491.6
2023-09-01,2023,9,Ontario,Unemployment,497.4
2023-10-01,2023,10,Ontario,Unemployment,529.0
2023-11-01,2023,11,Ontario,Unemployment,522.5
2023-12-01,2023,12,Ontario,Unemployment,533.5
2024-01-01,2024,1,Ontario,Unemployment,523.8
2024-02-01,2024,2,Ontario,Unemployment,570.4
2024-03-01,2024,3,Ontario,Unemployment,587.9
2024-04-01,2024,4,Ontario,Unemployment,587.4
2024-05-01,2024,5,Ontario,Unemployment,589.0
2024-06-01,2024,6,Ontario,Unemployment,613.8
2024-07-01,2024,7,Ontario,Unemployment,600.5
2024-08-01,2024,8,Ontario,Unemployment,636.1
2024-09-01,2024,9,Ontario,Unemployment,614.9
2024-10-01,2024,10,Ontario,Unemployment,623.9
2024-11-01,2024,11,Ontario,Unemployment,693.1
2024-12-01,2024,12,Ontario,Unemployment,666.4
2025-01-01,2025,1,Ontario,Unemployment,674.0
2025-02-01,2025,2,Ontario,Unemployment,656.1
2025-03-01,2025,3,Ontario,Unemployment,670.0
2025-04-01,2025,4,Ontario,Unemployment,690.5
2025-05-01,2025,5,Ontario,Unemployment,702.1
2025-06-01,2025,6,Ontario,Unemployment,690.9
2025-07-01,2025,7,Ontario,Unemployment,696.4
2025-08-01,2025,8,Ontario,Unemployment,685.9
2025-09-01,2025,9,Ontario,Unemployment,702.9
2025-10-01,2025,10,Ontario,Unemployment,675.8
2025-11-01,2025,11,Ontario,Unemployment,658.1
2025-12-01,2025,12,Ontario,Unemployment,714.3
2019-01-01,2019,1,Ontario,Unemployment rate,5.6
2019-02-01,2019,2,Ontario,Unemployment rate,5.6
2019-03-01,2019,3,Ontario,Unemployment rate,5.9
2019-04-01,2019,4,Ontario,Unemployment rate,5.9
2019-05-01,2019,5,Ontario,Unemployment rate,5.2
2019-06-01,2019,6,Ontario,Unemployment rate,5.3
2019-07-01,2019,7,Ontario,Unemployment rate,5.7
2019-08-01,2019,8,Ontario,Unemployment rate,5.6
2019-09-01,2019,9,Ontario,Unemployment rate,5.5
2019-10-01,2019,10,Ontario,Unemployment rate,5.5
2019-11-01,2019,11,Ontario,Unemployment rate,5.5
2019-12-01,2019,12,Ontario,Unemployment rate,5.2
2020-01-01,2020,1,Ontario,Unemployment rate,5.2
2020-02-01,2020,2,Ontario,Unemployment rate,5.6
2020-03-01,2020,3,Ontario,Unemployment rate,8.5
2020-04-01,2020,4,Ontario,Unemployment rate,12.1
2020-05-01,2020,5,Ontario,Unemployment rate,14.2
2020-06-01,2020,6,Ontario,Unemployment rate,12.6
2020-07-01,2020,7,Ontario,Unemployment rate,11.4
2020-08-01,2020,8,Ontario,Unemployment rate,10.4
2020-09-01,2020,9,Ontario,Unemployment rate,9.6
2020-10-01,2020,10,Ontario,Unemployment rate,9.4
2020-11-01,2020,11,Ontario,Unemployment rate,9.0
2020-12-01,2020,12,Ontario,Unemployment rate,9.9
2021-01-01,2021,1,Ontario,Unemployment rate,10.2
2021-02-01,2021,2,Ontario,Unemployment rate,9.5
2021-03-01,2021,3,Ontario,Unemployment rate,7.8
2021-04-01,2021,4,Ontario,Unemployment rate,9.4
2021-05-01,2021,5,Ontario,Unemployment rate,9.4
2021-06-01,2021,6,Ontario,Unemployment rate,8.8
2021-07-01,2021,7,Ontario,Unemployment rate,7.9
2021-08-01,2021,8,Ontario,Unemployment rate,7.7
2021-09-01,2021,9,Ontario,Unemployment rate,7.4
2021-10-01,2021,10,Ontario,Unemployment rate,6.7
2021-11-01,2021,11,Ontario,Unemployment rate,6.5
2021-12-01,2021,12,Ontario,Unemployment rate,6.3
2022-01-01,2022,1,Ontario,Unemployment rate,7.4
2022-02-01,2022,2,Ontario,Unemployment rate,5.7
2022-03-01,2022,3,Ontario,Unemployment rate,5.4
2022-04-01,2022,4,Ontario,Unemployment rate,5.6
2022-05-01,2022,5,Ontario,Unemployment rate,5.4
2022-06-01,2022,6,Ontario,Unemployment rate,5.1
2022-07-01,2022,7,Ontario,Unemployment rate,5.1
2022-08-01,2022,8,Ontario,Unemployment rate,5.4
2022-09-01,2022,9,Ontario,Unemployment rate,5.5
2022-10-01,2022,10,Ontario,Unemployment rate,5.5
2022-11-01,2022,11,Ontario,Unemployment rate,5.6
2022-12-01,2022,12,Ontario,Unemployment rate,5.3
2023-01-01,2023,1,Ontario,Unemployment rate,5.3
2023-02-01,2023,2,Ontario,Unemployment rate,5.2
2023-03-01,2023,3,Ontario,Unemployment rate,5.3
2023-04-01,2023,4,Ontario,Unemployment rate,5.0
2023-05-01,2023,5,Ontario,Unemployment rate,5.5
2023-06-01,2023,6,Ontario,Unemployment rate,5.6
2023-07-01,2023,7,Ontario,Unemployment rate,5.6
2023-08-01,2023,8,Ontario,Unemployment rate,5.8
2023-09-01,2023,9,Ontario,Unemployment rate,5.8
2023-10-01,2023,10,Ontario,Unemployment rate,6.2
2023-11-01,2023,11,Ontario,Unemployment rate,6.1
2023-12-01,2023,12,Ontario,Unemployment rate,6.2
2024-01-01,2024,1,Ontario,Unemployment rate,6.1
2024-02-01,2024,2,Ontario,Unemployment rate,6.6
2024-03-01,2024,3,Ontario,Unemployment rate,6.8
2024-04-01,2024,4,Ontario,Unemployment rate,6.8
2024-05-01,2024,5,Ontario,Unemployment rate,6.7
2024-06-01,2024,6,Ontario,Unemployment rate,7.0
2024-07-01,2024,7,Ontario,Unemployment rate,6.8
2024-08-01,2024,8,Ontario,Unemployment rate,7.2
2024-09-01,2024,9,Ontario,Unemployment rate,7.0
2024-10-01,2024,10,Ontario,Unemployment rate,7.1
2024-11-01,2024,11,Ontario,Unemployment rate,7.8
2024-12-01,2024,12,Ontario,Unemployment rate,7.5
2025-01-01,2025,1,Ontario,Unemployment rate,7.6
2025-02-01,2025,2,Ontario,Unemployment rate,7.4
2025-03-01,2025,3,Ontario,Unemployment rate,7.5
2025-04-01,2025,4,Ontario,Unemployment rate,7.8
2025-05-01,2025,5,Ontario,Unemployment rate,7.9
2025-06-01,2025,6,Ontario,Unemployment rate,7.8
2025-07-01,2025,7,Ontario,Unemployment rate,7.8
2025-08-01,2025,8,Ontario,Unemployment rate,7.7
2025-09-01,2025,9,Ontario,Unemployment rate,7.9
2025-10-01,2025,10,Ontario,Unemployment rate,7.6
2025-11-01,2025,11,Ontario,Unemployment rate,7.4
2025-12-01,2025,12,Ontario,Unemployment rate,7.9
